Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	5.71e-002	1.4194e-003	-1.8896e-002	
2	5.71e-002	-2.1684e-019	-1.8948e-002	
5	5.4617e-002	1.4235e-003	-1.8882e-002	
6	5.4617e-002	5.487e-008	-1.8936e-002	
9	5.2133e-002	1.4279e-003	-1.8872e-002	
10	5.2133e-002	1.1048e-007	-1.8926e-002	
13	4.965e-002	1.4321e-003	-1.8854e-002	
14	4.965e-002	1.64e-007	-1.8909e-002	
17	4.7168e-002	1.4352e-003	-1.8812e-002	
18	4.7167e-002	2.1011e-007	-1.8867e-002	
21	4.4687e-002	1.4367e-003	-1.8734e-002	
22	4.4685e-002	2.4536e-007	-1.8789e-002	
25	4.2207e-002	1.437e-003	-1.8626e-002	
26	4.2204e-002	2.7142e-007	-1.8681e-002	
29	3.9728e-002	1.4365e-003	-1.8496e-002	
30	3.9724e-002	2.9097e-007	-1.8552e-002	
33	3.7251e-002	1.4358e-003	-1.8353e-002	
34	3.7245e-002	3.0657e-007	-1.8409e-002	
37	3.4774e-002	1.4349e-003	-1.8197e-002	
38	3.4767e-002	3.179e-007	-1.8253e-002	
41	3.2301e-002	1.433e-003	-1.8009e-002	
42	3.2291e-002	3.1874e-007	-1.8065e-002	
45	2.9834e-002	1.4294e-003	-1.7771e-002	
46	2.9819e-002	3.04e-007	-1.7827e-002	
49	2.7377e-002	1.4236e-003	-1.7465e-002	
50	2.7355e-002	2.6822e-007	-1.752e-002	
53	2.493e-002	1.4159e-003	-1.7092e-002	
54	2.49e-002	2.121e-007	-1.7146e-002	
57	2.2488e-002	1.4079e-003	-1.6677e-002	
58	2.2451e-002	1.4332e-007	-1.673e-002	
61	2.0048e-002	1.4006e-003	-1.6245e-002	
62	2.0006e-002	7.0452e-008	-1.6298e-002	
65	1.7606e-002	1.3953e-003	-1.582e-002	
66	1.7559e-002	7.7885e-008	-1.5873e-002	
69	1.517e-002	1.3913e-003	-1.5387e-002	
70	1.5114e-002	1.128e-007	-1.544e-002	
73	1.2754e-002	1.3868e-003	-1.4896e-002	
74	1.2681e-002	1.2928e-007	-1.4944e-002	
77	1.0373e-002	1.3805e-003	-1.4297e-002	
78	1.0273e-002	1.1262e-007	-1.4335e-002	
81	8.0346e-003	1.3719e-003	-1.3551e-002	
82	7.9085e-003	5.1503e-008	-1.3577e-002	
85	5.6947e-003	1.3697e-003	-1.2734e-002	
86	5.562e-003	-2.4997e-008	-1.2764e-002	
89	3.2635e-003	1.381e-003	-1.2039e-002	
90	3.1697e-003	-5.9862e-008	-1.2098e-002	
93	6.8656e-004	1.3954e-003	-1.1745e-002	
94	7.0116e-004	1.7706e-008	-1.1828e-002	
97	-1.8924e-003	1.3924e-003	-1.2185e-002	
98	-1.7486e-003	-6.0058e-008	-1.2218e-002	
101	-4.2254e-003	1.392e-003	-1.327e-002	
102	-4.0194e-003	-4.1806e-009	-1.3223e-002	
105	-6.2855e-003	1.4176e-003	-1.4706e-002	
106	-6.0772e-003	-1.5991e-008	-1.4611e-002	
109	-8.1435e-003	1.4691e-003	-1.6338e-002	
110	-7.9601e-003	-5.464e-008	-1.623e-002	
113	-9.8554e-003	1.5395e-003	-1.8088e-002	
114	-9.7075e-003	-5.2472e-008	-1.7994e-002	
117	-1.1464e-002	1.6228e-003	-1.9914e-002	
118	-1.1355e-002	-2.3591e-008	-1.9852e-002	
121	-1.3018e-002	1.7139e-003	-2.1774e-002	
122	-1.2949e-002	1.8278e-008	-2.1757e-002	
125	-1.4561e-002	1.8093e-003	-2.364e-002	
126	-1.453e-002	6.3009e-008	-2.3672e-002	
129	-1.6132e-002	1.9065e-003	-2.5483e-002	
130	-1.614e-002	1.0307e-007	-2.5563e-002	
133	-1.7779e-002	2.0038e-003	-2.7269e-002	
134	-1.7823e-002	1.2396e-007	-2.7388e-002	
137	-1.9568e-002	2.0985e-003	-2.8937e-002	
138	-1.9644e-002	1.0497e-007	-2.9076e-002	
141	-2.1577e-002	2.1853e-003	-3.0376e-002	
142	-2.167e-002	2.0123e-007	-3.0511e-002	
145	-2.3816e-002	2.2568e-003	-3.1486e-002	
146	-2.3901e-002	2.583e-007	-3.1601e-002	
149	-2.6225e-002	2.306e-003	-3.2209e-002	
150	-2.6283e-002	2.0028e-007	-3.2305e-002	
153	-2.8714e-002	2.332e-003	-3.2569e-002	
154	-2.874e-002	1.2704e-007	-3.2654e-002	
157	-3.122e-002	2.3407e-003	-3.2662e-002	
158	-3.1222e-002	1.547e-007	-3.2746e-002	
161	-3.3714e-002	2.3391e-003	-3.2591e-002	
162	-3.3704e-002	1.3489e-007	-3.2676e-002	
165	-3.6195e-002	2.3334e-003	-3.2453e-002	
166	-3.6184e-002	9.5267e-008	-3.2538e-002	
169	-3.867e-002	2.3295e-003	-3.234e-002	
170	-3.8664e-002	6.2808e-008	-3.2424e-002	
173	-4.1145e-002	2.3311e-003	-3.232e-002	
174	-4.1147e-002	5.7782e-008	-3.2405e-002	
177	-4.3624e-002	2.337e-003	-3.2371e-002	
178	-4.363e-002	7.3395e-008	-3.2456e-002	
181	-4.6106e-002	2.3443e-003	-3.2446e-002	
182	-4.6112e-002	9.6218e-008	-3.2531e-002	
185	-4.8592e-002	2.3504e-003	-3.2499e-002	
186	-4.8595e-002	1.1246e-007	-3.2584e-002	
189	-5.1079e-002	2.3536e-003	-3.25e-002	
190	-5.1078e-002	1.136e-007	-3.2586e-002	
193	-5.3564e-002	2.3549e-003	-3.2467e-002	
194	-5.3561e-002	1.0477e-007	-3.2553e-002	
197	-5.6046e-002	2.3557e-003	-3.2426e-002	
198	-5.6044e-002	9.3342e-008	-3.2511e-002	
201	-5.8528e-002	2.3576e-003	-3.24e-002	
202	-5.8528e-002	8.658e-008	-3.2486e-002	
205	-6.101e-002	2.3611e-003	-3.2402e-002	
206	-6.1011e-002	8.7943e-008	-3.2488e-002	
209	-6.3492e-002	2.3656e-003	-3.242e-002	
210	-6.3494e-002	9.417e-008	-3.2507e-002	
213	-6.5976e-002	2.3703e-003	-3.2442e-002	
214	-6.5977e-002	1.0133e-007	-3.2529e-002	
217	-6.846e-002	2.3746e-003	-3.2453e-002	
218	-6.8461e-002	9.8592e-008	-3.254e-002	
221	-7.0944e-002	2.3781e-003	-3.245e-002	
222	-7.0944e-002	9.1624e-008	-3.2538e-002	
225	-7.3427e-002	2.3812e-003	-3.244e-002	
226	-7.3427e-002	8.2371e-008	-3.2527e-002	
229	-7.591e-002	2.3844e-003	-3.2428e-002	
230	-7.591e-002	7.294e-008	-3.2516e-002	
233	-7.8393e-002	2.388e-003	-3.2423e-002	
234	-7.8394e-002	6.5344e-008	-3.2512e-002	
237	-8.0876e-002	2.3921e-003	-3.2426e-002	
238	-8.0877e-002	5.986e-008	-3.2514e-002	
241	-8.336e-002	2.3964e-003	-3.2431e-002	
242	-8.336e-002	5.5349e-008	-3.252e-002	
245	-8.5843e-002	2.4008e-003	-3.2436e-002	
