Node Number	X Location (m)	Y Location (m)	Z Location (m)	
3957	5.71e-002	1.3843e-002	-7.3049e-007	
3958	5.71e-002	1.3808e-002	-9.8248e-004	
3961	5.71e-002	1.3704e-002	-1.962e-003	
3963	5.71e-002	1.3528e-002	-2.9405e-003	
3965	5.71e-002	1.328e-002	-3.9101e-003	
3967	5.71e-002	1.2967e-002	-4.8475e-003	
3969	5.71e-002	1.2594e-002	-5.7492e-003	
3971	5.71e-002	1.2151e-002	-6.6328e-003	
3973	5.71e-002	1.1644e-002	-7.4885e-003	
3975	5.71e-002	1.1087e-002	-8.2903e-003	
3977	5.71e-002	1.0456e-002	-9.0732e-003	
3979	5.71e-002	9.7904e-003	-9.7875e-003	
3981	5.71e-002	9.0498e-003	-1.0476e-002	
3983	5.71e-002	8.2891e-003	-1.1088e-002	
3985	5.71e-002	7.4664e-003	-1.1658e-002	
3987	5.71e-002	6.6262e-003	-1.2155e-002	
3989	5.71e-002	5.7364e-003	-1.2599e-002	
3991	5.71e-002	4.8253e-003	-1.2976e-002	
3993	5.71e-002	3.8988e-003	-1.3283e-002	
3995	5.71e-002	2.9393e-003	-1.3528e-002	
3997	5.71e-002	1.9575e-003	-1.3704e-002	
3999	5.71e-002	9.6888e-004	-1.381e-002	
4001	5.71e-002	1.3399e-006	-1.3844e-002	
7787	-0.10571	-1.7905e-003	-2.5337e-002	
7788	-0.10571	2.625e-006	-2.54e-002	
7791	-0.10571	-3.5922e-003	-2.5145e-002	
7793	-0.10571	-5.3902e-003	-2.4821e-002	
7795	-0.10571	-7.1651e-003	-2.4368e-002	
7797	-0.10571	-8.8837e-003	-2.3796e-002	
7799	-0.10571	-1.0538e-002	-2.3111e-002	
7801	-0.10571	-1.2159e-002	-2.23e-002	
7803	-0.10571	-1.3728e-002	-2.137e-002	
7805	-0.10571	-1.52e-002	-2.035e-002	
7807	-0.10571	-1.6632e-002	-1.9197e-002	
7809	-0.10571	-1.7944e-002	-1.7977e-002	
7811	-0.10571	-1.9208e-002	-1.662e-002	
7813	-0.10571	-2.0331e-002	-1.5225e-002	
7815	-0.10571	-2.1381e-002	-1.3712e-002	
7817	-0.10571	-2.2294e-002	-1.2171e-002	
7819	-0.10571	-2.3112e-002	-1.0536e-002	
7821	-0.10571	-2.3804e-002	-8.8628e-003	
7823	-0.10571	-2.4369e-002	-7.1634e-003	
7825	-0.10571	-2.4818e-002	-5.4044e-003	
7827	-0.10571	-2.5144e-002	-3.5979e-003	
7829	-0.10571	-2.5337e-002	-1.788e-003	
7831	-0.10571	-2.54e-002	-1.3122e-006	
7833	5.71e-002	-1.3843e-002	-2.1157e-006	
7834	5.71e-002	-1.3808e-002	9.8152e-004	
7835	5.5096e-002	-1.3825e-002	-2.083e-006	
7836	5.5096e-002	-1.3791e-002	9.8386e-004	
7841	5.3092e-002	-1.3816e-002	-2.055e-006	
7842	5.3092e-002	-1.3781e-002	9.8663e-004	
7845	5.1088e-002	-1.3805e-002	-2.0264e-006	
7846	5.1088e-002	-1.377e-002	9.8944e-004	
7849	4.9083e-002	-1.3784e-002	-1.9865e-006	
7850	4.9084e-002	-1.3749e-002	9.9188e-004	
7853	4.708e-002	-1.3746e-002	-1.9449e-006	
7854	4.708e-002	-1.371e-002	9.9357e-004	
7857	4.5076e-002	-1.3683e-002	-1.9051e-006	
7858	4.5078e-002	-1.3647e-002	9.943e-004	
7861	4.3074e-002	-1.3601e-002	-1.8806e-006	
7862	4.3076e-002	-1.3565e-002	9.9426e-004	
7865	4.1072e-002	-1.3503e-002	-1.848e-006	
7866	4.1075e-002	-1.3467e-002	9.9372e-004	
7869	3.9071e-002	-1.3392e-002	-1.8016e-006	
7870	3.9075e-002	-1.3356e-002	9.9291e-004	
7873	3.707e-002	-1.3273e-002	-1.7422e-006	
7874	3.7075e-002	-1.3237e-002	9.9205e-004	
7877	3.507e-002	-1.3144e-002	-1.6704e-006	
7878	3.5077e-002	-1.3108e-002	9.9109e-004	
7881	3.3072e-002	-1.2996e-002	-1.534e-006	
7882	3.308e-002	-1.2959e-002	9.8975e-004	
7885	3.1075e-002	-1.2818e-002	-1.3847e-006	
7886	3.1087e-002	-1.2781e-002	9.8766e-004	
7889	2.9083e-002	-1.2602e-002	-1.2581e-006	
7890	2.9098e-002	-1.2566e-002	9.8456e-004	
7893	2.7096e-002	-1.234e-002	-1.2205e-006	
7894	2.7117e-002	-1.2304e-002	9.8021e-004	
7897	2.5115e-002	-1.2037e-002	-1.1991e-006	
7898	2.5141e-002	-1.2002e-002	9.7514e-004	
7901	2.3138e-002	-1.1705e-002	-1.1789e-006	
7902	2.317e-002	-1.1671e-002	9.7011e-004	
7905	2.1164e-002	-1.1358e-002	-1.1497e-006	
7906	2.12e-002	-1.1323e-002	9.6577e-004	
7909	1.9191e-002	-1.1008e-002	-1.1189e-006	
7910	1.923e-002	-1.0973e-002	9.6271e-004	
7913	1.7217e-002	-1.0663e-002	-1.0921e-006	
7914	1.726e-002	-1.0627e-002	9.6134e-004	
7917	1.5245e-002	-1.0307e-002	-1.0523e-006	
7918	1.5295e-002	-1.0272e-002	9.6106e-004	
7921	1.328e-002	-9.9125e-003	-9.9346e-007	
7922	1.3341e-002	-9.8793e-003	9.6128e-004	
7925	1.1329e-002	-9.4522e-003	-8.8566e-007	
7926	1.1408e-002	-9.4237e-003	9.6178e-004	
7929	9.4016e-003	-8.9027e-003	-8.0558e-007	
7930	9.5028e-003	-8.8825e-003	9.6251e-004	
7933	7.5034e-003	-8.2595e-003	-7.9271e-007	
7934	7.6241e-003	-8.2461e-003	9.655e-004	
7937	5.6122e-003	-7.5962e-003	-7.6243e-007	
7938	5.7396e-003	-7.5768e-003	9.7804e-004	
7941	3.6957e-003	-7.0101e-003	-6.9937e-007	
7942	3.8063e-003	-6.968e-003	1.0033e-003	
7945	1.7319e-003	-6.6147e-003	-6.0001e-007	
7946	1.7884e-003	-6.5408e-003	1.0346e-003	
7949	-2.7121e-004	-6.5477e-003	-3.9796e-007	
7950	-3.1018e-004	-6.4661e-003	1.0473e-003	
7953	-2.2421e-003	-6.9124e-003	-5.2489e-007	
7954	-2.3736e-003	-6.876e-003	1.0249e-003	
7957	-4.1052e-003	-7.646e-003	-6.2916e-007	
7958	-4.2856e-003	-7.6719e-003	9.9454e-004	
7961	-5.8426e-003	-8.645e-003	-6.4231e-007	
7962	-6.0343e-003	-8.7178e-003	9.8204e-004	
7965	-7.4606e-003	-9.8277e-003	-7.5372e-007	
7966	-7.6417e-003	-9.925e-003	9.9278e-004	
7969	-8.9763e-003	-1.1139e-002	-8.944e-007	
7970	-9.1356e-003	-1.1241e-002	1.0235e-003	
7973	-1.0407e-002	-1.2543e-002	-1.0614e-006	
7974	-1.0539e-002	-1.2634e-002	1.0695e-003	
7977	-1.1774e-002	-1.4008e-002	-1.2416e-006	
7978	-1.1877e-002	-1.4076e-002	1.1265e-003	
7981	-1.3108e-002	-1.5504e-002	-1.4298e-006	
7982	-1.318e-002	-1.5541e-002	1.1904e-003	
7985	-1.4432e-002	-1.7009e-002	-1.6204e-006	
7986	-1.4475e-002	-1.7011e-002	1.2584e-003	
7989	-1.5769e-002	-1.8501e-002	-1.8115e-006	
7990	-1.5783e-002	-1.8469e-002	1.3288e-003	
7993	-1.7147e-002	-1.9957e-002	-1.9902e-006	
7994	-1.7132e-002	-1.9893e-002	1.4001e-003	
7997	-1.8594e-002	-2.1343e-002	-2.2411e-006	
7998	-1.8553e-002	-2.1255e-002	1.4708e-003	
8001	-2.0153e-002	-2.2602e-002	-2.4428e-006	
8002	-2.0091e-002	-2.2505e-002	1.5389e-003	
8005	-2.185e-002	-2.3669e-002	-2.5605e-006	
8006	-2.1779e-002	-2.3576e-002	1.6007e-003	
8009	-2.3673e-002	-2.4502e-002	-2.57e-006	
8010	-2.3607e-002	-2.4421e-002	1.6524e-003	
8013	-2.559e-002	-2.5085e-002	-2.5243e-006	
