Node Number	X Location (m)	Y Location (m)	Z Location (m)	
1	5.7128e-002	2.1781e-003	2.1354e-002	
2	5.7128e-002	2.8956e-009	2.1466e-002	
3	5.4036e-002	2.1826e-003	2.1325e-002	
4	5.4036e-002	7.7877e-008	2.1437e-002	
9	5.0943e-002	2.1885e-003	2.1313e-002	
10	5.0943e-002	1.5792e-007	2.1425e-002	
13	4.7851e-002	2.193e-003	2.1277e-002	
14	4.7851e-002	2.3089e-007	2.139e-002	
17	4.4762e-002	2.1937e-003	2.1184e-002	
18	4.476e-002	2.8649e-007	2.1298e-002	
21	4.1674e-002	2.1916e-003	2.1044e-002	
22	4.167e-002	3.27e-007	2.1158e-002	
25	3.8587e-002	2.1881e-003	2.0877e-002	
26	3.8582e-002	3.5915e-007	2.0991e-002	
29	3.5502e-002	2.1844e-003	2.0699e-002	
30	3.5495e-002	3.878e-007	2.0814e-002	
33	3.2421e-002	2.1791e-003	2.0485e-002	
34	3.2409e-002	4.0423e-007	2.06e-002	
37	2.935e-002	2.1696e-003	2.0193e-002	
38	2.9331e-002	3.9574e-007	2.0308e-002	
41	2.6295e-002	2.1543e-003	1.9789e-002	
42	2.6265e-002	3.5111e-007	1.9901e-002	
45	2.3253e-002	2.1353e-003	1.9298e-002	
46	2.3212e-002	2.794e-007	1.9409e-002	
49	2.021e-002	2.117e-003	1.8783e-002	
50	2.0162e-002	2.0121e-007	1.8894e-002	
53	1.7161e-002	2.1031e-003	1.8298e-002	
54	1.7108e-002	1.3293e-007	1.8411e-002	
57	1.4128e-002	2.0907e-003	1.7797e-002	
58	1.4057e-002	6.2543e-008	1.7906e-002	
61	1.1147e-002	2.0728e-003	1.7144e-002	
62	1.1037e-002	9.5582e-008	1.7241e-002	
65	8.2459e-003	2.0436e-003	1.6226e-002	
66	8.0913e-003	4.4523e-008	1.6298e-002	
69	5.3375e-003	2.0188e-003	1.516e-002	
70	5.184e-003	-3.7941e-008	1.5244e-002	
73	2.1773e-003	2.0179e-003	1.446e-002	
74	2.1592e-003	-5.7916e-010	1.4599e-002	
77	-1.0847e-003	2.0258e-003	1.4997e-002	
78	-8.8719e-004	-2.5858e-008	1.5052e-002	
81	-3.7999e-003	2.0769e-003	1.6694e-002	
82	-3.5425e-003	1.5803e-008	1.6623e-002	
85	-6.0838e-003	2.1813e-003	1.8752e-002	
86	-5.8656e-003	6.415e-009	1.8664e-002	
89	-8.1758e-003	2.3151e-003	2.0928e-002	
90	-8.0175e-003	4.8711e-008	2.0885e-002	
93	-1.0208e-002	2.4629e-003	2.3132e-002	
94	-1.0113e-002	1.0702e-007	2.316e-002	
97	-1.2268e-002	2.6162e-003	2.531e-002	
98	-1.2234e-002	1.5833e-007	2.541e-002	
101	-1.4412e-002	2.7705e-003	2.7415e-002	
102	-1.4438e-002	1.8513e-007	2.7579e-002	
105	-1.6714e-002	2.921e-003	2.9383e-002	
106	-1.679e-002	1.6413e-007	2.9587e-002	
109	-1.9275e-002	3.058e-003	3.1076e-002	
110	-1.9375e-002	1.8667e-007	3.128e-002	
113	-2.2179e-002	3.1587e-003	3.2229e-002	
114	-2.2256e-002	2.9299e-007	3.2405e-002	
117	-2.5274e-002	3.2083e-003	3.2754e-002	
118	-2.5307e-002	2.0849e-007	3.2914e-002	
121	-2.8389e-002	3.2226e-003	3.2869e-002	
122	-2.8396e-002	1.1902e-007	3.3027e-002	
125	-3.1488e-002	3.2271e-003	3.2873e-002	
126	-3.1489e-002	1.1984e-007	3.3032e-002	
129	-3.4581e-002	3.2308e-003	3.2869e-002	
130	-3.4582e-002	1.1809e-007	3.3028e-002	
133	-3.7673e-002	3.2345e-003	3.2863e-002	
134	-3.7674e-002	1.1586e-007	3.3022e-002	
137	-4.0765e-002	3.2385e-003	3.2861e-002	
138	-4.0767e-002	1.1488e-007	3.3021e-002	
141	-4.3858e-002	3.2431e-003	3.2863e-002	
142	-4.3859e-002	1.1521e-007	3.3023e-002	
145	-4.6951e-002	3.2478e-003	3.2867e-002	
146	-4.6952e-002	1.1586e-007	3.3027e-002	
149	-5.0043e-002	3.2525e-003	3.2868e-002	
150	-5.0044e-002	1.1588e-007	3.3029e-002	
153	-5.3136e-002	3.257e-003	3.2867e-002	
154	-5.3137e-002	1.1512e-007	3.3028e-002	
157	-5.6229e-002	3.2616e-003	3.2865e-002	
158	-5.623e-002	1.1411e-007	3.3027e-002	
161	-5.9321e-002	3.2664e-003	3.2863e-002	
162	-5.9322e-002	1.1333e-007	3.3026e-002	
165	-6.2414e-002	3.2714e-003	3.2863e-002	
166	-6.2415e-002	1.1294e-007	3.3026e-002	
169	-6.5507e-002	3.2765e-003	3.2864e-002	
170	-6.5507e-002	1.1267e-007	3.3027e-002	
173	-6.8599e-002	3.2817e-003	3.2864e-002	
174	-6.86e-002	1.1224e-007	3.3028e-002	
177	-7.1692e-002	3.2869e-003	3.2863e-002	
178	-7.1692e-002	1.0634e-007	3.3027e-002	
181	-7.4784e-002	3.2922e-003	3.2861e-002	
182	-7.4785e-002	9.6599e-008	3.3026e-002	
185	-7.7877e-002	3.2975e-003	3.286e-002	
